r, theta, phi, ground_track_beam_radius, ground_track_beam_area, v_r, v_theta, v_phi, beamwidth, v_groundtrack
29984075.90228877, 44.61180506128102, 30.50374670706169, 1833.1839004573444, 10557520.701558195, 2755.8142330075534, -0.0040013723945105245, 0.004662287943761136, 0.004449812006670223, 173.66463884431647
30312987.796775136, 44.14067040284078, 31.065228511007653, 1858.7284713245679, 10853799.018098162, 2747.081277503205, -0.003934929751948143, 0.004689511620391121, 0.004449812006670223, 170.46878936037083
30640753.33357729, 43.67736317670878, 31.63007380464243, 1884.1840116167514, 11153123.241614789, 2737.506866287268, -0.003869554819921291, 0.0047176035796850846, 0.004449812006670223, 167.3280276091036
30967272.11516235, 43.22176001250895, 32.198385281997155, 1909.542724072876, 11455357.101143481, 2727.09393208841, -0.0038052102807016055, 0.0047465532423792015, 0.004449812006670223, 164.2403159703929
31292444.12588977, 42.77374191392318, 32.770264375397126, 1934.7968410911596, 11760359.884439422, 2715.8456644820158, -0.003741859602035657, 0.004776350070671222, 0.004449812006670223, 161.203707016128
31616169.762646947, 42.33319416652238, 33.34581125280485, 1959.938627108337, 12067986.540051505, 2703.7655089129075, -0.0036794670214673766, 0.004806983504568036, 0.004449812006670223, 158.2163386553355
31938349.86535878, 41.90000624748846, 33.92512480760407, 1984.9603809691503, 12378087.785002748, 2690.8571656426407, -0.0036179975305452986, 0.004838442898752405, 0.004449812006670222, 155.27642958241157
32258885.747361045, 41.474071737228684, 34.508302640870056, 2009.8544382852629, 12690510.217965936, 2677.1245886119573, -0.003557416859017337, 0.004870717459828053, 0.004449812006670223, 152.38227500617472
32577679.225629095, 41.05528823286857, 35.095441036159336, 2034.6131737829369, 13005096.437818019, 2662.5719842326375, -0.0034976914591409907, 0.0049037961838418916, 0.004449812006670223, 149.5322426419561
32894632.650852382, 40.643557263600954, 35.686634926838146, 2059.2290036387376, 13321685.167449012, 2647.203810099643, -0.003438788490180897, 0.004937667793967073, 0.0044498120066702234, 146.72476894700685
33209648.937344976, 40.23878420785631, 36.2819778559599, 2083.694387802499, 13640111.38269424, 2631.0247736214246, -0.003380675803197357, 0.004972320678272331, 0.004449812006670223, 143.9583555843639
33522631.592784084, 39.840878212250274, 36.88156192869578, 2108.0018323069344, 13960206.446254192, 2614.0398305834065, -0.0033233219262033243, 0.005007742827525265, 0.0044498120066702234, 141.23156609914034
33833484.747766346, 39.44975211225657, 37.48547775731478, 2132.1438915630897, 14281798.246457651, 2596.2541836259593, -0.003266696049753493, 0.0050439217729654155, 0.004449812006670222, 138.54302279285193
34142113.18517361, 39.06532235454433, 38.09381439870872, 2156.113170641007, 14604711.340719735, 2577.67328065328, -0.003210768013043563, 0.005080844524039363, 0.004449812006670222, 135.89140378432694
34448422.36933864, 38.687508920913075, 38.706659284455384, 2179.902327534843, 14928767.103539027, 2558.3028131623637, -0.003155508290566343, 0.005118497506079153, 0.004449812006670223, 133.27544024349217
34752318.47500243, 38.316235253750456, 39.32409814341593, 2203.504075411807, 15253783.878873745, 2538.148714502441, -0.0031008879793937003, 0.005156866497948315, 0.004449812006670223, 130.6939137882514
35053708.41605356, 37.95142818293415, 39.94621491686482, 2226.911184844172, 15579577.136729877, 2517.2171580547, -0.003046878787114804, 0.0051959365696729876, 0.004449812006670222, 128.14565403391
35352499.87404146, 37.59301785409158, 40.57309166615975, 2250.116486023723, 15905959.633790266, 2495.5145553438083, -0.002993453020495763, 0.005235692020136248, 0.004449812006670223, 125.62953628572122
35648601.32645422, 37.24093765812873, 41.204808472964864, 2273.1128709579234, 16232741.577907342, 2473.04755407171, -0.0029405835748797697, 0.005276116314882522, 0.004449812006670223, 123.1444793662504
35941922.07475282, 36.8951241619332, 41.841443332055746, 2295.8932956471594, 16559730.79627835, 2449.823036082727, -0.002888243924380321, 0.005317192024160563, 0.004449812006670223, 120.689443569168
36232372.27215309, 36.55551704015384, 42.483072036747195, 2318.4507822423957, 16886732.90711666, 2425.8481152570366, -0.002836408112889012, 0.00535890076130879, 0.004449812006670223, 118.26342873268341
36519862.951146215, 36.222059007956524, 43.12976805700167, 2340.7784211825265, 17213551.494627696, 2401.1301353269832, -0.00278505074592329, 0.005401223121623928, 0.004449812006670222, 115.865472425668
36804306.05075065, 35.8946957546509, 43.78160241030023, 2362.8693733108616, 17539988.28709573, 2375.676667633281, -0.0027341469833517995, 0.005444138621913239, 0.0044498120066702234, 113.49464824061452
37085614.4434858, 35.573375878083276, 44.438643525376285, 2384.7168719700057, 17865843.337881226, 2349.495508801878, -0.0026836725329954193, 0.00548762564088441, 0.004449812006670222, 111.15006418762913
